IAB1-Arts & Entertainment,,,Entertainment ,,Music ,,,,
IAB19,IAB19-2,Animation,,,,,,,
IAB19,IAB19-3,Antivirus Software ,,,,,,,
IAB19,IAB19-4,C/C++,,,,,,,
IAB19,IAB19-5,Cameras & Camcorders,,,,,,,
IAB19,IAB19-6,Cell phones,,,,,,,
IAB19,IAB19-7,Computer Certification,,,,,,,
IAB19,IAB19-8,Computer Networking,,,,,,,
IAB19,IAB19-9,Computer Peripherals,,,,,,,
IAB19,IAB19-10,Computer Reviews,,,,,,,
IAB19,IAB19-11,Data Centers,,,,,,,
IAB19,IAB19-12,Databases,,,,,,,
IAB19,IAB19-13,Desktop Publishing,,,,,,,
IAB19,IAB19-14,Desktop Video,,,,,,,
IAB19,IAB19-15,Email,,,,,,,
IAB19,IAB19-16,Graphics Software,,,,,,,
IAB19,IAB19-17,Home Video /DVD,,,,,,,
IAB19,IAB19-18,Internet Technology,,,,,,,
IAB19,IAB19-19,Java,,,,,,,
IAB19,IAB19-20,JavaScript,,,,,,,
IAB19,IAB19-21,Mac Support,,,,,,,
IAB19,IAB19-22,MP3/MIDI,,,,,,,
IAB19,IAB19-23,Net Conferencing,,,,,,,
IAB19,IAB19-24,Net for Beginners,,,,,,,
IAB19,IAB19-25,Network Security ,,,,,,,
IAB19,IAB19-26,Palmtops/PDAs,,,,,,,
IAB19,IAB19-27,PC Support,,,,,,,
IAB19,IAB19-28,Portable,,,,,,,
IAB19,IAB19-29,Entertainment,,,,,,,
IAB19,IAB19-30,Shareware/Freeware,,,,,,,
IAB19,IAB19-31,Unix,,,,,,,
IAB19,IAB19-32,Visual Basic,,,,,,,
IAB19,IAB19-33,Web Clips Art,,,,,,,
IAB19,IAB19-34,Web Design/ HTML\,,,,,,,
IAB19,IAB19-35,Web Search,,,,,,,
IAB19,IAB19-36,Windows,,,,,,,
,,,,,,,,,
IAB20-Travel,,,Travel ,,,,,,
Category ,Subject ,Name ,,,,,,,
IAB20,IAB20-1,Adventure Travel,Travel ,,,,,,
IAB20,IAB20-2,Africa,Travel ,,,,,,
IAB20,IAB20-3,Air Travel,Travel ,,,,,,
IAB20,IAB20-4,Australia & New Zealand,Travel ,,,,,,
IAB20,IAB20-5,Bed & Breakfast,Travel ,,,,,,
IAB20,IAB20-6,Budget Travel,Travel ,,,,,,
IAB20,IAB20-7,Business Travel,Travel ,,,,,,
IAB20,IAB20-8,by US Locale,Travel ,,,,,,
IAB20,IAB20-9,Camping,Travel ,,,,,,
IAB20,IAB20-10,Canada,Travel ,,,,,,
IAB20,IAB20-11,Caribbean,Travel ,,,,,,
IAB20,IAB20-12,Cruises,Travel ,,,,,,
IAB20,IAB20-13,Eastern Europe,Travel ,,,,,,
IAB20,IAB20-14,Europe,Travel ,,,,,,
IAB20,IAB20-15,France,Travel ,,,,,,
IAB20,IAB20-16,Greece,Travel ,,,,,,
IAB20,IAB20-17,Honeymoons/Getaways,Travel ,,,,,,
IAB20,IAB20-18,Hotels,Travel ,,,,,,
IAB20,IAB20-19,Italy,Travel ,,,,,,
IAB20,IAB20-20,Japan,Travel ,,,,,,
IAB20,IAB20-21,Mexico & Central America,Travel ,,,,,,
IAB20,IAB20-22,National Parks,Travel ,,,,,,
IAB20,IAB20-23,South America,Travel ,,,,,,
IAB20,IAB20-24,Spas,Travel ,,,,,,
IAB20,IAB20-25,Theme Parks,Travel ,,,,,,
IAB20,IAB20-26,Traveling with Kids,Travel ,,,,,,
IAB20,IAB20-27,United Kingdom,Travel ,,,,,,
,,,,,,,,,
IAB21-Real Estate,,,,,,,,,
Category ,Subject ,Name ,,,,,,,
IAB21,IAB21-1,Apartments,,,,,,,
IAB21,IAB21-2,Architects,,,,,,,
IAB21,IAB21-3,Buying/Selling Homes,,,,,,,
,,,,,,,,,
IAB22-Shopping,,,,,,,,,
Category ,Subject ,Name ,,,,,,,
IAB22,IAB22-1,Contests & Freebies,,,,,,,
IAB22,IAB22-2,Couponing,,,,,,,
IAB22,IAB22-3,Comparison,,,,,,,
IAB22,IAB22-4,Engines,,,,,,,
,,,,,,,,,
IAB23-Religion & Spirituality,,,,,,,,,
Category ,Subject ,Name ,,,,,,,
IAB23,IAB23-1,Alternative Religions,,,,,,,
IAB23,IAB23-2,Atheism/ Agnosticism,,,,,,,
IAB23,IAB23-3,Buddhism,,,,,,,
IAB23,IAB23-4,Catholicism,,,,,,,
IAB23,IAB23-5,Christianity ,,,,,,,
IAB23,IAB23-6,Hinduism,,,,,,,
IAB23,IAB23-7,Islam,,,,,,,
IAB23,IAB23-8,Judaism,,,,,,,
IAB23,IAB23-9,Latter-Day Saints,,,,,,,
IAB23,IAB23-10,Pagan/Wiccan,,,,,,,
,,,,,,,,,
IAB24- Uncategorized,,,,,,,,,
,,,,,,,,,
IAB25-Non-Standard Content,,,,Adult ,,,,,
Category ,Subject ,Name ,,,,,,,
IAB25,IAB25-1,Unmoderated UGC,,Adult ,,,,,
IAB25,IAB25-2,Extreme Graphic/Explicit Violence,,Adult ,,,,,
IAB25,IAB25-3,Pornography,,Adult ,,,,,
IAB25,IAB25-4,Profane Content,,Adult ,,,,,
IAB25,IAB25-5,Hate content,,Adult ,,,,,
IAB25,IAB25-6,Under Construction,,Adult ,,,,,
IAB25,IAB25-7,Incentivized,,Adult ,,,,,
,,,,,,,,,
IAB26-Illegal Content,,,,,,,,,
Category ,Subject ,Name ,,,,,,,
IAB26,IAB26-1,Illegal Content,,,,,,,
IAB26,IAB26-2,Warez,,,,,,,
IAB26,IAB26-3,Spyware/Malware,,,,,,,
IAB26,IAB26-4,Copyright Infringement,,,,,,,
